  Steps: 0000M | FPS: 113292 | Reward: 131.96 | Latent MSE: 0.2285 | Best: 131.96
  Steps: 0000M | FPS: 113690 | Reward: 132.23 | Latent MSE: 0.2276 | Best: 132.23
  Steps: 0000M | FPS: 114096 | Reward: 132.93 | Latent MSE: 0.2268 | Best: 132.93
  Steps: 0000M | FPS: 114498 | Reward: 133.43 | Latent MSE: 0.2259 | Best: 133.43
  Steps: 0000M | FPS: 114896 | Reward: 134.01 | Latent MSE: 0.2251 | Best: 134.01
  Steps: 0000M | FPS: 115310 | Reward: 134.60 | Latent MSE: 0.2243 | Best: 134.60
  Steps: 0000M | FPS: 115699 | Reward: 134.94 | Latent MSE: 0.2235 | Best: 134.94
  Steps: 0000M | FPS: 116183 | Reward: 134.94 | Latent MSE: 0.2227 | Best: 134.94
  Steps: 0000M | FPS: 116572 | Reward: 135.33 | Latent MSE: 0.2219 | Best: 135.33
  Steps: 0000M | FPS: 116944 | Reward: 135.51 | Latent MSE: 0.2211 | Best: 135.51
  Steps: 0000M | FPS: 117239 | Reward: 135.97 | Latent MSE: 0.2204 | Best: 135.97
  Steps: 0000M | FPS: 117433 | Reward: 136.28 | Latent MSE: 0.2196 | Best: 136.28
  Steps: 0000M | FPS: 117724 | Reward: 136.55 | Latent MSE: 0.2189 | Best: 136.55
  Steps: 0000M | FPS: 118008 | Reward: 137.17 | Latent MSE: 0.2181 | Best: 137.17
  Steps: 0000M | FPS: 118077 | Reward: 137.60 | Latent MSE: 0.2174 | Best: 137.60
  Steps: 0000M | FPS: 118217 | Reward: 138.07 | Latent MSE: 0.2167 | Best: 138.07
  Steps: 0000M | FPS: 118392 | Reward: 140.35 | Latent MSE: 0.2160 | Best: 140.35
  Steps: 0000M | FPS: 118618 | Reward: 141.36 | Latent MSE: 0.2153 | Best: 141.36
  Steps: 0000M | FPS: 118932 | Reward: 143.11 | Latent MSE: 0.2146 | Best: 143.11
  Steps: 0000M | FPS: 119268 | Reward: 144.42 | Latent MSE: 0.2139 | Best: 144.42
  Steps: 0000M | FPS: 119619 | Reward: 145.33 | Latent MSE: 0.2132 | Best: 145.33
  Steps: 0000M | FPS: 119959 | Reward: 145.92 | Latent MSE: 0.2125 | Best: 145.92
  Steps: 0000M | FPS: 120168 | Reward: 146.53 | Latent MSE: 0.2119 | Best: 146.53
  Steps: 0000M | FPS: 120439 | Reward: 146.86 | Latent MSE: 0.2112 | Best: 146.86
  Steps: 0000M | FPS: 120755 | Reward: 147.46 | Latent MSE: 0.2106 | Best: 147.46
  Steps: 0000M | FPS: 121065 | Reward: 148.12 | Latent MSE: 0.2099 | Best: 148.12
  Steps: 0000M | FPS: 121303 | Reward: 148.18 | Latent MSE: 0.2093 | Best: 148.18
  Steps: 0000M | FPS: 121590 | Reward: 148.25 | Latent MSE: 0.2086 | Best: 148.25
  Steps: 0000M | FPS: 121919 | Reward: 148.70 | Latent MSE: 0.2080 | Best: 148.70
  Steps: 0000M | FPS: 122258 | Reward: 148.98 | Latent MSE: 0.2074 | Best: 148.98
  Steps: 0000M | FPS: 122577 | Reward: 149.32 | Latent MSE: 0.2067 | Best: 149.32
  Steps: 0000M | FPS: 122897 | Reward: 149.75 | Latent MSE: 0.2061 | Best: 149.75
  Steps: 0000M | FPS: 123210 | Reward: 149.95 | Latent MSE: 0.2054 | Best: 149.95
  Steps: 0000M | FPS: 123443 | Reward: 150.38 | Latent MSE: 0.2048 | Best: 150.38
